year,type,sex,category,units,value,cv
1976,biomass,female,mature,t,2592,0.81
1977,biomass,female,mature,t,11259,0.9
1978,biomass,female,mature,t,6171,0.74
1979,biomass,female,mature,t,2793,0.49
1980,biomass,female,mature,t,63078,0.9
1981,biomass,female,mature,t,8282,0.45
1982,biomass,female,mature,t,8763,0.69
1983,biomass,female,mature,t,9864,0.78
1984,biomass,female,mature,t,2536,0.39
1985,biomass,female,mature,t,520,0.45
1986,biomass,female,mature,t,2420,0.9
1987,biomass,female,mature,t,785,0.59
1988,biomass,female,mature,t,478,0.49
1989,biomass,female,mature,t,714,0.47
1990,biomass,female,mature,t,2224,0.39
1991,biomass,female,mature,t,2117,0.4
1992,biomass,female,mature,t,1543,0.46
1993,biomass,female,mature,t,1636,0.46
1994,biomass,female,mature,t,4524,0.45
1995,biomass,female,mature,t,4482,0.44
1996,biomass,female,mature,t,5418,0.5
1997,biomass,female,mature,t,2840,0.43
1998,biomass,female,mature,t,1761,0.46
1999,biomass,female,mature,t,2755,0.46
2000,biomass,female,mature,t,1439,0.46
2001,biomass,female,mature,t,1816,0.72
2002,biomass,female,mature,t,1401,0.78
2003,biomass,female,mature,t,1286,0.75
2004,biomass,female,mature,t,118,0.52
2005,biomass,female,mature,t,370,0.57
2006,biomass,female,mature,t,522,0.71
2007,biomass,female,mature,t,216,0.83
2008,biomass,female,mature,t,493,0.66
2009,biomass,female,mature,t,595,0.84
2010,biomass,female,mature,t,352,0.62
2011,biomass,female,mature,t,22,1
2012,biomass,female,mature,t,106,0.44
2013,biomass,female,mature,t,131,0.82
2014,biomass,female,mature,t,91.09902833,0.604908381
1975,biomass,female,total,t,12172,0.64
1976,biomass,female,total,t,5770,0.89
1977,biomass,female,total,t,13573,0.87
1978,biomass,female,total,t,6492,0.72
1979,biomass,female,total,t,4097,0.44
1980,biomass,female,total,t,63713,0.89
1981,biomass,female,total,t,9911,0.45
1982,biomass,female,total,t,9376,0.67
1983,biomass,female,total,t,10248,0.78
1984,biomass,female,total,t,2580,0.38
1985,biomass,female,total,t,523,0.45
1986,biomass,female,total,t,2431,0.9
1987,biomass,female,total,t,913,0.53
1988,biomass,female,total,t,717,0.47
1989,biomass,female,total,t,1745,0.5
1990,biomass,female,total,t,3811,0.37
1991,biomass,female,total,t,2776,0.38
1992,biomass,female,total,t,2649,0.46
1993,biomass,female,total,t,2092,0.4
1994,biomass,female,total,t,4858,0.44
1995,biomass,female,total,t,4844,0.42
1996,biomass,female,total,t,5585,0.49
1997,biomass,female,total,t,3028,0.41
1998,biomass,female,total,t,2182,0.39
1999,biomass,female,total,t,2868,0.47
2000,biomass,female,total,t,1462,0.46
2001,biomass,female,total,t,1817,0.72
2002,biomass,female,total,t,1401,0.78
2003,biomass,female,total,t,1307,0.73
2004,biomass,female,total,t,123,0.5
2005,biomass,female,total,t,847,0.61
2006,biomass,female,total,t,558,0.67
2007,biomass,female,total,t,257,0.71
2008,biomass,female,total,t,672,0.7
2009,biomass,female,total,t,625,0.82
2010,biomass,female,total,t,440,0.6
2011,biomass,female,total,t,37,0.67
2012,biomass,female,total,t,237,0.64
2013,biomass,female,total,t,166,0.65
2014,biomass,female,total,t,108,0.53
